SequencesName,Daily_SIF_757nm,latitude,longitude,datetime,MeasurementMode,SimplyGoodOrBadQualityFlag,tag,location_1,city_country,country,city
b'fossil_Guangzhou_China',0.150506496,23.44082642,113.362915,1/4/22 0:50,b'AM',0,b'fossil,Guangzhou_China',Guangzhou_China,China,Guangzhou
b'fossil_Harbin_China',0.142385006,45.89498901,125.5966492,8/5/22 4:44,b'AM',0,b'fossil,Harbin_China',Harbin_China,China,Harbin
b'fossil_Ho_Chi_Minh_City_Vietnam',0.681693077,10.72973633,106.0893555,2/2/22 3:49,b'AM',0,b'fossil,Ho_Chi_Minh_City_Vietnam',Ho_Chi_Minh_City_Vietnam,Vietnam,Ho_Chi_Minh_City
b'fossil_Istanbul_Turkey',0.244719505,41.10736084,28.06304932,4/2/22 11:54,b'AM',0,b'fossil,Istanbul_Turkey',Istanbul_Turkey,Turkey,Istanbul
b'fossil_Jeddah_Saudi_Arabia',-0.022489548,21.92254639,39.51623535,10/17/22 12:20,b'AM',0,b'fossil,Jeddah_Saudi_Arabia',Jeddah_Saudi_Arabia,Saudi_Arabia,Jeddah
b'fossil_Katowice_Poland',0.140836716,50.74206543,18.24981689,4/16/22 10:18,b'AM',0,b'fossil,Katowice_Poland',Katowice_Poland,Poland,Katowice
b'fossil_Kolkata_India',0.117302895,24.02307129,87.52923584,8/29/22 4:39,b'AM',0,b'fossil,Kolkata_India',Kolkata_India,India,Kolkata
b'fossil_Manila_Philippines',0.426214218,14.51397705,121.2150269,12/7/22 1:01,b'AM',0,b'fossil,Manila_Philippines',Manila_Philippines,Philippines,Manila
b'fossil_Maracaibo_Venezuela',0.364172935,11.07263184,-71.8885498,3/22/22 20:20,b'AM',0,b'fossil,Maracaibo_Venezuela',Maracaibo_Venezuela,Venezuela,Maracaibo
b'fossil_Milan_Italy',0.230017185,45.82589722,10.09112549,4/17/22 7:50,b'AM',0,b'fossil,Milan_Italy',Milan_Italy,Italy,Milan
b'fossil_Montreal_Canada',0.322558403,46.14770508,-73.95111084,8/20/22 16:15,b'AM',0,b'fossil,Montreal_Canada',Montreal_Canada,Canada,Montreal
b'fossil_Naples_Italy',0.232879639,40.8605957,14.77075195,6/16/22 6:59,b'AM',0,b'fossil,Naples_Italy',Naples_Italy,Italy,Naples
b'fossil_Peshawar_Pakistan',0.188894272,34.47137451,71.57751465,10/11/22 4:15,b'AM',0,b'fossil,Peshawar_Pakistan',Peshawar_Pakistan,Pakistan,Peshawar
b'fossil_Portland_USA',0.13508606,45.86798096,-122.7502441,2/12/22 17:51,b'AM',0,b'fossil,Portland_USA',Portland_USA,USA,Portland
b'fossil_Pusan_South_Korea',0.224142075,35.74926758,128.9304199,10/12/22 0:23,b'AM',0,b'fossil,Pusan_South_Korea',Pusan_South_Korea,South_Korea,Pusan
b'fossil_Qingdao_China',0.773949623,30.97753906,114.1539307,8/14/22 23:47,b'AM',0,b'fossil,Qingdao_China',Qingdao_China,China,Qingdao
