sounding_id,xco2,operation_mode,xco2_quality_flag,target_name,latitude,longitude,index_right,Target Name,datetime,local_time,timezone,city,country,population
2.02E+15,409.50967,b'AM',FALSE,none,43.463734,76.718864,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.38083,b'AM',FALSE,none,43.50453,76.73114,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.52493,b'AM',FALSE,none,43.52496,76.73715,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.9192,b'AM',FALSE,none,43.392723,76.717445,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.3362,b'AM',FALSE,none,43.41303,76.72399,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,407.85507,b'AM',FALSE,none,43.474068,76.743515,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.50787,b'AM',FALSE,none,43.53529,76.761795,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.6652,b'AM',FALSE,none,43.403057,76.742,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.54483,b'AM',FALSE,none,43.42336,76.74865,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.207,b'AM',FALSE,none,43.443684,76.75514,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.66663,b'AM',FALSE,none,43.464027,76.76162,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.6526,b'AM',FALSE,none,43.484394,76.76825,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,410.10284,b'AM',FALSE,none,43.52519,76.780396,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.5493,b'AM',FALSE,none,43.545616,76.78653,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,407.72067,b'AM',FALSE,none,43.433685,76.77322,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.6887,b'AM',FALSE,none,43.45401,76.779724,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.86005,b'AM',FALSE,none,43.47435,76.78633,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,407.4083,b'AM',FALSE,none,43.494717,76.79269,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.6448,b'AM',FALSE,none,43.5151,76.7993,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.48535,b'AM',FALSE,none,43.535507,76.805,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
