target_name,xco2,latitude,longitude,datetime,tag,location_1,city_country,country,city
b'fossil_Ahmadabad_India',411.2012787,22.90997251,72.36324056,4/25/20 8:25,b'fossil,Ahmadabad_India',Ahmadabad_India,India,Ahmadabad
b'fossil_Ahvaz_Iran',411.8448181,31.31193391,48.56000368,8/5/20 8:50,b'fossil,Ahvaz_Iran',Ahvaz_Iran,Iran,Ahvaz
b'fossil_Al-Ahmadi_Kuwait',414.5006866,29.33725025,47.65403715,6/12/20 6:05,b'fossil,Al-Ahmadi_Kuwait',Al-Ahmadi_Kuwait,Kuwait,Al-Ahmadi
b'fossil_Al_Ain_UAE',411.0247498,24.04526523,55.51950993,4/19/20 11:32,b'fossil,Al_Ain_UAE',Al_Ain_UAE,UAE,Al_Ain
b'fossil_Al_Hofuf_Saudi_Arabia',413.902298,25.86712834,49.19584362,2/23/20 9:59,b'fossil,Al_Hofuf_Saudi_Arabia',Al_Hofuf_Saudi_Arabia,Saudi_Arabia,Al_Hofuf
b'fossil_Almaty_Kazakhstan',409.8302307,43.20945908,76.39710983,6/9/20 6:59,b'fossil,Almaty_Kazakhstan',Almaty_Kazakhstan,Kazakhstan,Almaty
b'fossil_Amman_Jordan',411.4976501,32.03372152,35.90466195,2/9/20 8:02,b'fossil,Amman_Jordan',Amman_Jordan,Jordan,Amman
b'fossil_Ankara_Turkey',409.5007172,40.01215427,32.54297695,5/26/20 14:47,b'fossil,Ankara_Turkey',Ankara_Turkey,Turkey,Ankara
b'fossil_Ashgabat_Turkmenistan',412.4772339,37.89177234,58.14860524,5/27/20 12:26,b'fossil,Ashgabat_Turkmenistan',Ashgabat_Turkmenistan,Turkmenistan,Ashgabat
b'fossil_Astana_Kazakhstan',407.2235718,51.06883573,71.01265444,6/4/20 10:58,b'fossil,Astana_Kazakhstan',Astana_Kazakhstan,Kazakhstan,Astana
b'fossil_Athens_Greece',412.5822144,38.11331453,23.31266446,6/6/20 10:49,b'fossil,Athens_Greece',Athens_Greece,Greece,Athens
b'fossil_Atlanta_USA',412.0423737,33.70276348,-84.55899634,5/28/20 20:55,b'fossil,Atlanta_USA',Atlanta_USA,USA,Atlanta
b'fossil_Baabda_Lebanon',413.3489075,34.45671561,36.0659291,2/26/20 9:08,b'fossil,Baabda_Lebanon',Baabda_Lebanon,Lebanon,Baabda
b'fossil_Baghdad_Iraq',413.2257385,33.27716311,44.26532293,5/26/20 13:11,b'fossil,Baghdad_Iraq',Baghdad_Iraq,Iraq,Baghdad
b'fossil_Baltimore_USA',413.4520569,39.06801058,-77.41129711,2/12/20 15:02,b'fossil,Baltimore_USA',Baltimore_USA,USA,Baltimore
b'fossil_Bangalore_India',411.5510559,13.14385066,77.51822392,2/22/20 9:16,b'fossil,Bangalore_India',Bangalore_India,India,Bangalore
b'fossil_Baotou_China',412.2479553,40.3985795,109.5373604,5/27/20 9:22,b'fossil,Baotou_China',Baotou_China,China,Baotou
b'fossil_Barcelona_Spain',412.071228,41.50263263,1.89865531,6/9/20 11:38,b'fossil,Barcelona_Spain',Barcelona_Spain,Spain,Barcelona
b'fossil_Beijing_China',416.6079407,40.1124926,116.1391566,5/28/20 8:36,b'fossil,Beijing_China',Beijing_China,China,Beijing
b'fossil_Benha_Egypt',412.6767273,30.484846,31.03151877,5/28/20 13:09,b'fossil,Benha_Egypt',Benha_Egypt,Egypt,Benha
b'fossil_Bogota_Colombia',411.8300323,4.533470033,-74.09986183,5/22/20 20:48,b'fossil,Bogota_Colombia',Bogota_Colombia,Colombia,Bogota
b'fossil_Boston_USA',407.0747681,42.20795559,-71.39741406,6/9/20 16:15,b'fossil,Boston_USA',Boston_USA,USA,Boston
b'fossil_Brisbane_Australia',410.342453,-27.65926493,152.57121,5/25/20 2:47,b'fossil,Brisbane_Australia',Brisbane_Australia,Australia,Brisbane
b'fossil_Brussels_Belgium',414.7973785,50.78573681,3.995446347,4/8/20 15:07,b'fossil,Brussels_Belgium',Brussels_Belgium,Belgium,Brussels
b'fossil_Bucharest_Romania',409.1663208,44.39526823,25.94627076,6/4/20 12:27,b'fossil,Bucharest_Romania',Bucharest_Romania,Romania,Bucharest
b'fossil_Budapest_Hungary',411.1995239,47.43414861,18.69654498,6/6/20 12:28,b'fossil,Budapest_Hungary',Budapest_Hungary,Hungary,Budapest
b'fossil_Buenos_Aires_Argentina',410.214325,-34.48403033,-58.70151448,1/12/20 13:37,b'fossil,Buenos_Aires_Argentina',Buenos_Aires_Argentina,Argentina,Buenos_Aires
b'fossil_Calgary_Canada',408.0525818,50.96864459,-114.1034433,6/4/20 0:10,b'fossil,Calgary_Canada',Calgary_Canada,Canada,Calgary
b'fossil_Cape_Town_South_Africa',410.3275909,-33.7952076,18.62932228,2/25/20 14:57,b'fossil,Cape_Town_South_Africa',Cape_Town_South_Africa,South_Africa,Cape_Town
b'fossil_Caracas_Venezuela',410.7355194,9.948763084,-67.11707529,2/25/20 17:48,b'fossil,Caracas_Venezuela',Caracas_Venezuela,Venezuela,Caracas
b'fossil_Changchun_China',408.0709839,43.18736552,124.1231385,6/1/20 7:02,b'fossil,Changchun_China',Changchun_China,China,Changchun
b'fossil_Chengdu_China',415.7764282,30.7184251,104.0553634,2/25/20 5:17,b'fossil,Chengdu_China',Chengdu_China,China,Chengdu
b'fossil_Chennai_India',415.2054138,12.86008874,78.83041187,5/27/20 9:12,b'fossil,Chennai_India',Chennai_India,India,Chennai
b'fossil_Chicago_USA',410.1899414,41.88499871,-88.2460804,5/29/20 21:45,b'fossil,Chicago_USA',Chicago_USA,USA,Chicago
b'fossil_Chifeng_China',413.56987,42.15570289,118.8440123,2/8/20 4:14,b'fossil,Chifeng_China',Chifeng_China,China,Chifeng
b'fossil_Chios_Turkey',410.2332306,39.93078744,28.61609228,2/10/20 8:51,b'fossil,Chios_Turkey',Chios_Turkey,Turkey,Chios
b'fossil_Chongqing_China',413.7755585,29.19014588,106.2540237,5/29/20 7:44,b'fossil,Chongqing_China',Chongqing_China,China,Chongqing
b'fossil_Cleveland_USA',406.8940125,42.14074681,-82.68673068,8/22/20 17:39,b'fossil,Cleveland_USA',Cleveland_USA,USA,Cleveland
b'fossil_Cologne_Germany',410.0769043,50.85446159,6.60995112,6/6/20 15:39,b'fossil,Cologne_Germany',Cologne_Germany,Germany,Cologne
b'fossil_Columbus_USA',414.6951294,39.86458239,-83.16302195,3/29/20 21:06,b'fossil,Columbus_USA',Columbus_USA,USA,Columbus
b'fossil_Dalian_China',413.2792969,38.98212767,121.4687402,6/14/20 1:29,b'fossil,Dalian_China',Dalian_China,China,Dalian
b'fossil_Dallas_USA',408.5480957,32.60385447,-97.15721662,3/28/20 21:50,b'fossil,Dallas_USA',Dallas_USA,USA,Dallas
b'fossil_Datong_Shanxi_China',410.54776,39.95876643,113.0298671,7/29/20 8:09,b'fossil,Datong_Shanxi_China',Datong_Shanxi_China,China,Datong_Shanxi
b'fossil_Denver_USA',411.8194885,39.62730676,-105.1122864,5/27/20 23:17,b'fossil,Denver_USA',Denver_USA,USA,Denver
b'fossil_Detroit_USA',413.0132599,42.44637763,-83.50701553,5/26/20 22:32,b'fossil,Detroit_USA',Detroit_USA,USA,Detroit
b'fossil_Doha_Qatar',412.0065918,25.10360946,51.14246545,5/8/20 4:28,b'fossil,Doha_Qatar',Doha_Qatar,Qatar,Doha
b'fossil_Dubai_UAE',411.9944763,25.10601039,55.51732967,5/9/20 3:40,b'fossil,Dubai_UAE',Dubai_UAE,UAE,Dubai
b'fossil_Durban_South_Africa',410.7327423,-29.69965163,30.46306796,1/16/20 5:48,b'fossil,Durban_South_Africa',Durban_South_Africa,South_Africa,Durban
b'fossil_Esfahan_Iran',414.5152893,32.79632233,51.5651048,3/29/20 11:47,b'fossil,Esfahan_Iran',Esfahan_Iran,Iran,Esfahan
b'fossil_Fremantle_Australia',411.0405426,-32.03604219,116.0321789,1/14/20 1:11,b'fossil,Fremantle_Australia',Fremantle_Australia,Australia,Fremantle
b'fossil_Guadalajara_Mexico',413.6453552,20.72623082,-103.44829,5/23/20 23:11,b'fossil,Guadalajara_Mexico',Guadalajara_Mexico,Mexico,Guadalajara
b'fossil_Guangzhou_China',416.6578979,23.47925071,113.0239432,6/4/20 4:34,b'fossil,Guangzhou_China',Guangzhou_China,China,Guangzhou
b'fossil_Guiyang_China',411.1237793,26.2364112,106.342838,7/3/20 2:31,b'fossil,Guiyang_China',Guiyang_China,China,Guiyang
b'fossil_Hangzhou_China',411.5934753,30.48798529,120.0865945,6/12/20 1:28,b'fossil,Hangzhou_China',Hangzhou_China,China,Hangzhou
b'fossil_Hanoi_Vietnam',409.9219971,21.4638707,105.3931098,8/26/20 5:23,b'fossil,Hanoi_Vietnam',Hanoi_Vietnam,Vietnam,Hanoi
b'fossil_Harbin_China',415.7437439,45.47392384,126.4686594,5/28/20 8:37,b'fossil,Harbin_China',Harbin_China,China,Harbin
b'fossil_Hefei_China',413.6058655,31.6564576,117.2141334,10/11/20 1:47,b'fossil,Hefei_China',Hefei_China,China,Hefei
b'fossil_Ho_Chi_Minh_City_Vietnam',413.6805267,10.62667952,106.6003203,3/22/20 9:19,b'fossil,Ho_Chi_Minh_City_Vietnam',Ho_Chi_Minh_City_Vietnam,Vietnam,Ho_Chi_Minh_City
b'fossil_Hong_Kong_China',414.4255219,22.6901316,113.8949207,6/18/20 8:04,b'fossil,Hong_Kong_China',Hong_Kong_China,China,Hong_Kong
b'fossil_Houston_USA',414.0021362,29.83685256,-95.62652496,4/26/20 18:25,b'fossil,Houston_USA',Houston_USA,USA,Houston
b'fossil_Huhot_China',416.7667542,25.99802125,118.489952,4/30/20 2:56,b'fossil,Huhot_China',Huhot_China,China,Huhot
b'fossil_Indianapolis_USA',410.9586792,40.19541242,-86.67655494,7/5/20 13:15,b'fossil,Indianapolis_USA',Indianapolis_USA,USA,Indianapolis
b'fossil_Istanbul_Turkey',411.0806274,41.24454429,28.36824234,5/29/20 14:00,b'fossil,Istanbul_Turkey',Istanbul_Turkey,Turkey,Istanbul
b'fossil_Jakarta_Indonesia',411.9405518,-6.477465831,106.7112174,5/22/20 8:21,b'fossil,Jakarta_Indonesia',Jakarta_Indonesia,Indonesia,Jakarta
